Date,Open,High,Low,Close,Volume,Daily_Return,Price_Range,MA_30,MA_100,scraped_news_count,scraped_sources,scraped_titles,api_news_count,avg_api_sentiment,avg_tsla_sentiment,avg_tsla_relevance,api_sentiment_labels,tsla_sentiment_labels,api_titles,has_stock_data,total_news_count
2026-06-01,427.49,429.6,415.43,415.88,44937852.0,-0.0456871428899241,14.170000000000016,408.978,404.527463,1,Yahoo Finance,Reports of a Future SpaceX-Tesla Merger Are Picking Up Steam. But Is Such a Complex Deal Actually Feasible? - Yahoo Finance,0,0.0,0.0,0.0,,,,True,1
2026-06-02,418.22,424.42,413.65,423.74,37596045.0,0.0188996826007501,10.77000000000004,410.01933333333335,404.450763,0,,,0,0.0,0.0,0.0,,,,True,0
2026-06-03,418.7,433.6,416.0,423.7,44500733.0,-9.439750790585232e-05,17.600000000000023,411.262,404.329763,0,,,0,0.0,0.0,0.0,,,,True,0
2026-06-04,419.84,426.3499,417.16,418.45,35323260.0,-0.0123908425772952,9.189899999999966,412.2933333333333,404.064163,1,Yahoo Finance,Where Will Tesla Stock Be in 3 Years? - Yahoo Finance,0,0.0,0.0,0.0,,,,True,1
2026-06-05,420.5,424.6799,388.59,391.0,63420177.0,-0.0655992352730313,36.0899,412.8693333333334,403.484563,1,Yahoo Finance,Why Tesla (TSLA) Shares Are Trading Lower Today - Yahoo Finance,0,0.0,0.0,0.0,,,,True,1
2026-06-08,396.33,412.94,394.72,408.95,50328834.0,0.0459079283887466,18.21999999999997,413.9576666666666,403.102063,2,"Barron's, Yahoo Finance","Tesla Stock Rises Ahead of SpaceX’s Friday IPO - Barron's | At a $1.2 Trillion Market Cap, Is Tesla Stock Overvalued or Undervalued Right Now? - Yahoo Finance",0,0.0,0.0,0.0,,,,True,2
2026-06-09,411.03,418.5,384.24,396.68,59940230.0,-0.0300036679300647,34.25999999999999,414.558,402.6768629999999,2,Yahoo Finance,"Tesla Just Lost One of Its Biggest Bears, but Is the Stock a Buy? - Yahoo Finance | TSLA Stock Hits 1-Month Low Amid SpaceX Merger Jitters — But Analyst Sees Tesla Holders Getting 66% Of Deal Within A Year - Yahoo Finance",19,0.11368057894736841,0.060044,0.7325969999999999,"Bullish, Neutral, Somewhat-Bearish, Somewhat-Bullish","Bearish, Bullish, Neutral, Somewhat-Bearish, Somewhat-Bullish","[Form 4] Tesla, Inc. Insider Trading Activity | REX TSLA Growth & Income ETF announces weekly distribution of $0.1970 | Avoiding Lag: Real-Time Signals in (TSLP) Movement",True,21
2026-06-10,391.54,397.09,380.15,381.59,49695583.0,-0.0380407381264495,16.939999999999998,414.7436666666666,402.107063,2,"Barron's, Yahoo Finance",3 Reasons Tesla Stock Is So Volatile This Week - Barron's | Prediction: Tesla Stock Will Hit $500 on This Date - Yahoo Finance,22,0.033082181818181816,0.03978059090909091,0.6996019545454545,"Bearish, Neutral, Somewhat-Bearish, Somewhat-Bullish","Bearish, Neutral, Somewhat-Bearish, Somewhat-Bullish","Sylebra Capital LLC, an Impinj director, sells $8.3 million in stock | Sociedad Química y Minera de Chile (SQM) Is Down 5.5% After Strong Q1 Beat And Higher Lithium Guidance | Tesla’s Robotaxi Falls Short With Long Waits and Stalled Rides",True,24
2026-06-11,388.28,399.54,380.66,399.15,45324348.0,0.0460179774103095,18.879999999999995,415.622,401.723563,3,"Barron's, The New York Times, Trefis",How Tesla’s Stock Listing in 2010 Enabled SpaceX’s I.P.O. - The New York Times | The Number That Complicates The Tesla Stock Story - Trefis | Tesla Stock Needs the SpaceX IPO to Happen Already - Barron's,9,0.13355677777777777,0.2065541111111111,0.7594025555555555,"Neutral, Somewhat-Bullish","Bullish, Neutral, Somewhat-Bearish, Somewhat-Bullish","UBS reiterates Packaging Corp. of America stock buy on guidance miss risk | Oppenheimer raises Tesla stock price target on storage demand | Is the 2026 Toyota bZ Woodland a Good Crossover EV? 5 Pros, 2 Cons",True,12
2026-06-12,399.49,406.68,386.76,406.43,63652286.0,0.0182387573593887,19.920000000000016,416.4486666666667,401.595363,2,"GeekWire, Yahoo Finance",Opinion: SpaceX is no Tesla - GeekWire | Tesla stock gains after SpaceX's historic debut - Yahoo Finance,0,0.0,0.0,0.0,,,,True,2
